input_data	output_labels
[[0.619531, 0.661574, 0.095312, 0.217593], [0.565104, 0.523611, 0.042708, 0.149074], [0.627083, 0.588426, 0.086458, 0.284259]]	(3005.326447149408, 1596.9337111137543, 182.99904000000015, 179.80029999999988, -132.69970000000006, -344.50014, 19.599860000000035)
[[0.60625, 0.884722, 0.466667, 0.223148], [0.623437, 0.720833, 0.411458, 0.556481]]	(-823413.8924041268, -454935.4677328918, 896.0006399999999, 245.00016000000005, -457.59984, -388.4996800000001, 4.000319999999874)
[[0.723581, 0.603704, 0.077043, 0.1]]	(-21853.134992330964, -8915.165125941185, 147.99960299999998, 481.99968, 126.09968000000003, -279.9003200000001, 373.9996799999999)
[[0.751171, 0.61713, 0.084331, 0.100926]]	(-21853.134992330964, -8915.165125941185, 161.99985100000004, 467.9996400000001, 112.09964000000014, -294.90044, 358.99956)
[[0.847475, 0.856019, 0.230088, 0.286111], [0.868037, 0.765741, 0.130661, 0.468519]]	(-21853.134992330964, -8915.165125941185, 441.99904800000013, 309.99942, -45.90057999999999, -652.90046, 0.9995400000000245)
[[0.03125, 0.656481, 0.060417, 0.083333], [0.030729, 0.572222, 0.060417, 0.238889]]	(-2.7853260865878813, -16.18673718067411, 116.00064, 181.7003400000001, -175.99965999999995, -144.79930000000002, -0.999300000000062)
[[0.156771, 0.763889, 0.138542, 0.340741], [0.154427, 0.635185, 0.098437, 0.437037]]	(-331.7361737304856, -535.3625190367501, 266.00064, 439.00001999999995, -199.09998000000007, -563.60026, -137.20026000000007)
[[0.620052, 0.614352, 0.083854, 0.243519], [0.613542, 0.558796, 0.073958, 0.336111], [0.686198, 0.663889, 0.093229, 0.537037]]	(1658.2902814320964, 843.2952929006304, 160.99968000000013, 177.50009999999997, -117.19990000000001, -351.6004200000001, 16.099579999999946)
[[0.700521, 0.75787, 0.163542, 0.469444], [0.613542, 0.558796, 0.073958, 0.336111], [0.686198, 0.663889, 0.093229, 0.537037]]	(1450.008078154749, 734.8293956280752, 314.0006400000002, 279.70016, -152.29984000000007, -644.99936, 8.000639999999976)
[[0.870052, 0.903241, 0.259896, 0.193519], [0.89401, 0.722685, 0.209896, 0.55463]]	(23029.41633596176, 8615.040772554445, 499.0003199999999, 208.99998000000005, -238.60001999999997, -723.50054, -0.0005400000000008731)
[[0.767188, 0.6625, 0.042708, 0.093519], [0.767188, 0.6375, 0.028125, 0.106481]]	(-2536.1137883556253, -1170.0630654996066, 81.99936000000002, 101.00026000000003, -33.999739999999974, -135.0002599999999, -0.0002599999999119973)
[[0.421354, 0.644907, 0.019792, 0.102778]]	(-1282.3278468756982, -1027.9818276606836, 38.000639999999976, 110.00056000000006, -33.999439999999936, -144.99968, -0.9996800000000121)
[[0.205469, 0.596759, 0.026562, 0.056481], [0.154167, 0.781019, 0.1125, 0.437963]]	(-478.1664833508551, -793.4604651322115, 50.99903999999992, 461.00001999999995, -154.79998000000006, 94.90053999999998, 400.00054)
[[0.283854, 0.659722, 0.076042, 0.113889]]	(-478.1664833508551, -793.4604651322115, 146.00064000000003, 424.0002999999999, -191.7997000000001, -4.0998200000000224, 301.00018)
[[0.611458, 0.776852, 0.080208, 0.255556], [0.613542, 0.688426, 0.066667, 0.223148]]	(-4450.7072852797755, -2848.452662579057, 153.99936000000002, 276.00008, -77.99991999999997, -354.0004, -0.0004000000000132786)
[[0.053646, 0.868981, 0.0875, 0.262037]]	(-478.1664833508551, -793.4604651322115, 168.0, 278.0005, -337.7995, -310.09946, -4.999459999999999)
[[0.238281, 0.859722, 0.105729, 0.273148], [0.154167, 0.781019, 0.1125, 0.437963]]	(-478.1664833508551, -793.4604651322115, 202.99968000000007, 294.00015999999994, -321.7998400000001, -306.0996799999999, -0.9996799999998984)
[[0.620573, 0.55, 0.011979, 0.037037]]	(-2815.338904363974, -1495.205199628598, 22.9996799999999, 148.99997999999994, -33.00002000000006, -72.99998000000005, 109.00001999999995)
[[0.738542, 0.606019, 0.019792, 0.091667]]	(-7690.60906090609, -3378.067806780678, 38.000639999999976, 98.99965999999995, -51.00034000000005, -150.00069999999994, -0.0006999999999379725)
[[0.779167, 0.609259, 0.05, 0.111111], [0.781771, 0.568519, 0.045833, 0.140741]]	(5834.642663859286, 2399.8974430004396, 96.00000000000023, 90.40021999999999, -58.19978000000003, -176.39965999999993, 4.300340000000006)
[[0.842448, 0.635185, 0.074479, 0.181481], [0.845313, 0.586574, 0.061458, 0.171296]]	(10289.903602368438, 4033.106089264598, 142.9996799999999, 153.99994000000004, -43.40005999999994, -242.99954000000002, -0.9995400000000245)
[[0.598177, 0.601852, 0.044271, 0.135185], [0.597917, 0.546296, 0.036458, 0.088889], [0.559115, 0.616204, 0.066146, 0.250926]]	(-2815.338904363974, -1495.205199628598, 85.00031999999987, 145.99973999999986, -36.00026000000014, -182.00005999999996, -5.99999999622014e-05)
[[0.492448, 0.577315, 0.011979, 0.028704], [0.505469, 0.574537, 0.051562, 0.171296]]	(-3119.7543677564436, -1950.6037017816986, 22.999680000000012, 154.99996, -83.00004000000001, -114.00036000000011, 123.99963999999989)
[[0.506771, 0.637963, 0.038542, 0.137037], [0.505469, 0.574537, 0.051562, 0.171296]]	(-3119.7543677564436, -1950.6037017816986, 74.00063999999998, 147.99994000000015, -90.00005999999985, -238.00001999999995, -1.9999999949504854e-05)
[[0.555729, 0.694444, 0.077083, 0.212963], [0.505469, 0.574537, 0.051562, 0.171296], [0.559115, 0.616204, 0.066146, 0.250926]]	(-5021.824239900042, -3070.360960710815, 147.99936000000002, 229.0005000000001, -104.9994999999999, -334.9995399999999, -0.9995399999999108)
[[0.339844, 0.63287, 0.058854, 0.147222], [0.416667, 0.662963, 0.114583, 0.316667]]	(-285.7668798558436, -272.04017504085806, 112.9996799999999, 158.00027999999998, 2.4002799999999525, -154.79948000000002, -29.499480000000062)
[[0.415104, 0.758796, 0.113542, 0.286111], [0.416667, 0.662963, 0.114583, 0.316667]]	(-611.387360123617, -505.2141905621003, 218.0006400000001, 359.70026000000007, -187.49973999999997, -388.29962, -86.49962000000005)
[[0.12474, 0.891204, 0.248438, 0.213889], [0.06901, 0.785648, 0.136979, 0.428704]]	(-132.8504268604442, -271.00032870037563, 477.00095999999996, 230.99973999999997, -384.40026, -217.90037999999993, -0.00037999999995008693)
[[0.346354, 0.831481, 0.315625, 0.333333], [0.308073, 0.718519, 0.145313, 0.562963]]	(1989.6266293701485, 1284.9822172292222, 605.9999999999999, 362.00033999999994, -51.599660000000085, -910.2992999999999, 2.0007000000000517)
[[0.310417, 0.847685, 0.333333, 0.300926], [0.254948, 0.780556, 0.317188, 0.438889]]	(-867.1568684899155, -861.813766257926, 639.99936, 324.00023999999996, -248.09976000000006, -348.49983999999995, -0.9998399999999492)
[[0.418229, 0.680556, 0.040625, 0.090741], [0.413802, 0.643056, 0.028646, 0.110185]]	(-926.67219760121, -781.7763664661812, 78.0, 97.99965999999995, -51.00034000000005, -149.00062000000003, -0.0006200000000262662)
[[0.884896, 0.588889, 0.015625, 0.02963]]	(-3293.344318369709, -1232.8978019593253, 30.0, 90.00008000000003, -12.999919999999975, -45.00031999999999, 57.99968000000001)
[[0.898438, 0.616667, 0.03125, 0.081481]]	(-3293.344318369709, -1232.8978019593253, 60.0, 87.99937999999997, -15.000620000000026, -103.00009999999986, -9.999999986121111e-05)
[[0.510938, 0.846296, 0.177083, 0.305556], [0.372917, 0.731019, 0.183333, 0.536111]]	(3182.2052966814235, 2058.0657018676384, 339.9993599999999, 329.00055999999995, -170.6994400000001, -668.19992, -0.9999199999999746)
[[0.740885, 0.805093, 0.183854, 0.386111], [0.741927, 0.729167, 0.166146, 0.534259]]	(17452.03866855524, 8611.346990084985, 352.9996799999999, 416.9995, -162.0005, -579.00038, -0.00037999999995008693)
[[0.517969, 0.854167, 0.149479, 0.291667]]	(3277.585262265564, 2151.2912065407572, 286.9996799999999, 314.99982, -178.70018000000005, -675.50054, -0.0005400000000008731)
[[0.336458, 0.844907, 0.246875, 0.306481], [0.415365, 0.725, 0.327604, 0.540741]]	(-21265.935375349174, -14305.128755645163, 474.00000000000006, 330.00018, -70.09982000000002, -662.9993, -0.9992999999999483)
[[0.232292, 0.774074, 0.464583, 0.446296], [0.220833, 0.692593, 0.298958, 0.614815]]	(1158.3336982325309, 1153.0095186778747, 891.9993600000001, 484.99992, -309.10008000000005, -381.1997600000002, 3.000239999999849)
[[0.703646, 0.915741, 0.421875, 0.168519], [0.669792, 0.781019, 0.13125, 0.437963]]	(-606.7491710895939, -366.27949842357043, 810.0000000000001, 181.99998000000005, -557.3000199999999, -120.00054, -0.0005400000000008731)
[[0.1375, 0.731019, 0.08125, 0.219444], [0.140104, 0.666667, 0.072917, 0.292593]]	(-216.62868150403762, -449.3548998372273, 155.99999999999997, 267.29923999999994, -110.80075999999997, -346.00028, -65.90027999999995)
[[0.186198, 0.681481, 0.078646, 0.140741], [0.140104, 0.666667, 0.072917, 0.292593]]	(-216.62868150403762, -449.3548998372273, 151.00032, 278.30066, -99.79933999999992, -249.99962000000005, 30.100379999999973)
[[0.313802, 0.686111, 0.075521, 0.15], [0.322917, 0.627315, 0.036458, 0.187963], [0.28724, 0.635185, 0.066146, 0.212963]]	(-402.8433749275553, -408.94114579552155, 145.00031999999987, 189.50011999999992, -83.99988000000008, -245.99987999999996, -36.599879999999985)
[[0.336458, 0.611111, 0.026042, 0.051852], [0.322917, 0.627315, 0.036458, 0.187963]]	(-606.3227501452716, -567.3640505421412, 50.00064000000009, 55.00020000000006, -51.99979999999994, -107.99995999999999, -0.9999599999999873)
[[0.474492, 0.58287, 0.025508, 0.099074], [0.476575, 0.574074, 0.029672, 0.12963]]	(3549.5509573488134, 2316.58935188353, 49.00086799999997, 72.10035999999991, 0.6003599999999096, -154.99955999999997, -0.999559999999974)
[[0.173868, 0.618981, 0.034357, 0.078704], [0.166059, 0.585648, 0.034357, 0.110185], [0.150442, 0.693981, 0.097866, 0.339815]]	(-357.97208250452104, -647.2197728401894, 65.99979700000006, 360.5006800000001, 46.80068000000006, -276.9996400000001, 181.0003599999999)
[[0.145237, 0.724537, 0.124935, 0.247222], [0.166059, 0.585648, 0.034357, 0.110185], [0.150442, 0.693981, 0.097866, 0.339815], [0.090578, 0.59537, 0.047892, 0.17037], [0.086674, 0.776852, 0.172306, 0.444444]]	(-357.97208250452104, -647.2197728401894, 240.00013500000006, 337.4999200000001, 23.799920000000043, -481.99984000000006, -23.999840000000063)
[[0.079386, 0.662037, 0.078605, 0.162963], [0.150442, 0.693981, 0.097866, 0.339815], [0.090578, 0.59537, 0.047892, 0.17037], [0.086674, 0.776852, 0.172306, 0.444444]]	(-119.08939729167459, -330.73067847101487, 151.000205, 133.00005999999996, -28.399940000000015, -307.99997999999994, -42.99997999999994)
[[0.11088, 0.835648, 0.170744, 0.326852], [0.150442, 0.693981, 0.097866, 0.339815], [0.086674, 0.776852, 0.172306, 0.444444]]	(-73.39239161311599, -190.32905895383922, 327.99922399999997, 353.00023999999996, -175.99976000000004, -197.19992000000002, 8.000000002539309e-05)
[[0.486719, 0.849537, 0.210938, 0.300926], [0.428385, 0.734259, 0.305729, 0.525926]]	(2098.668182857268, 1244.3422651479573, 405.00095999999996, 325.00008, -89.29991999999993, -811.7, 0.0)
[[0.37526, 0.785185, 0.044271, 0.237037], [0.376563, 0.69537, 0.054167, 0.244444], [0.434115, 0.84213, 0.139063, 0.313889], [0.433594, 0.784722, 0.123438, 0.419444]]	(-2202.531720845127, -2175.2726648940734, 85.00031999999987, 255.00018, -98.99982, -354.99978, -0.999779999999987)
[[0.430729, 0.84537, 0.155208, 0.309259], [0.476042, 0.653704, 0.04375, 0.162963], [0.376563, 0.69537, 0.054167, 0.244444], [0.434115, 0.84213, 0.139063, 0.313889], [0.433594, 0.784722, 0.123438, 0.419444]]	(-3350.464462107088, -3008.3644065024696, 297.9993599999999, 334.00026, -119.99973999999997, -453.99946, 0.0005400000000008731)
[[0.196615, 0.920833, 0.105729, 0.156481]]	(-116.84552075578857, -240.61585156365956, 202.99968, 168.0001000000001, -475.8998999999999, -179.89937999999995, -0.9993799999999737)
[[0.484115, 0.672685, 0.038021, 0.113889], [0.480469, 0.608796, 0.038021, 0.087963], [0.476042, 0.653704, 0.04375, 0.162963], [0.434115, 0.84213, 0.139063, 0.313889], [0.433594, 0.784722, 0.123438, 0.419444]]	(-1412.7842956120091, -1021.5629715165512, 73.00031999999987, 122.00026000000003, -54.999739999999974, -177.9998599999999, -0.9998599999998987)
[[0.483333, 0.606481, 0.017708, 0.012963], [0.480469, 0.608796, 0.038021, 0.087963], [0.476042, 0.653704, 0.04375, 0.162963]]	(-1412.7842956120091, -1021.5629715165512, 33.999360000000024, 139.00054, -37.99946, -51.999500000000126, 125.00049999999987)
[[0.980469, 0.578704, 0.032813, 0.157407], [0.980208, 0.451389, 0.035417, 0.169444]]	(-7203.523027530756, -1989.4104611188454, 63.00096000000008, 169.99946, -136.00054, -334.5001000000001, -25.00010000000009)
[[0.210156, 0.866204, 0.206771, 0.265741], [0.086719, 0.742593, 0.172396, 0.511111]]	(-87.91136878736401, -145.96632310839195, 397.00032, 286.99982, -259.00018, -168.20046000000002, -0.00045999999997548)
[[0.810677, 0.552778, 0.070312, 0.161111], [0.809115, 0.488426, 0.054688, 0.202778]]	(-1741.3652904549383, -565.9084822569921, 134.9990399999997, 195.3997, -93.00029999999998, -279.50018, -44.60018000000002)
[[0.614583, 0.788889, 0.338542, 0.418519], [0.645052, 0.688889, 0.243229, 0.614815]]	(7799.8635192311085, 3926.8030041590055, 650.0006400000002, 454.00014, -101.39985999999999, -724.50038, -14.00037999999995)
[[0.746094, 0.546296, 0.094271, 0.096296], [0.739844, 0.510185, 0.036979, 0.111111], [0.84401, 0.776852, 0.309896, 0.446296]]	(-15933.13658941699, -6281.14118985923, 181.00031999999987, 541.00016, 192.7001600000001, -207.19951999999995, 437.00048000000004)
[[0.328906, 0.862963, 0.211979, 0.27037], [0.4875, 0.693519, 0.213542, 0.612963]]	(50490.74893119004, 28311.379047943992, 406.9996800000001, 290.9997599999999, 63.3997599999999, -888.09984, -0.9998399999999492)
[[0.419271, 0.781944, 0.402083, 0.432407], [0.482812, 0.6875, 0.158333, 0.615741], [0.342448, 0.675, 0.134896, 0.65]]	(1214.461030006182, 781.4382994911789, 771.99936, 469.00026, -302.49974, -632.1993, 2.0007000000000517)
[[0.203646, 0.753241, 0.194792, 0.489815], [0.342448, 0.675, 0.134896, 0.65]]	(-876.3300046461779, -1233.3814165738163, 374.00064, 528.99982, 149.69982000000005, -529.0003800000002, -0.0003800000001774606)
[[0.40625, 0.838426, 0.173958, 0.323148], [0.498958, 0.760185, 0.321875, 0.47963]]	(-5433.919795617203, -3300.394955649307, 333.99936, 348.99983999999995, -18.00016000000005, -645.1, 0.0)
[[0.622135, 0.438889, 0.008854, 0.018519]]	(6818.794639635859, 4140.182894659563, 16.9996799999999, 576.6001399999999, 42.80014, -12.800379999999961, 593.99962)
[[0.625521, 0.439815, 0.009375, 0.031481]]	(6818.794639635859, 4140.182894659563, 17.999999999999773, 582.5995399999999, 48.79953999999998, -20.799939999999992, 586.0000600000001)
[[0.528906, 0.445833, 0.018229, 0.034259]]	(6818.794639635859, 4140.182894659563, 34.999680000000126, 577.60022, 43.80022000000008, -28.799500000000023, 578.0005)
[[0.510938, 0.789352, 0.313542, 0.417593], [0.479167, 0.706944, 0.191667, 0.506481]]	(6818.794639635859, 4140.182894659563, 602.00064, 413.60005999999987, -120.19994000000003, -606.8003800000001, -0.0003800000001774606)
[[0.214583, 0.848611, 0.151042, 0.302778], [0.352083, 0.693981, 0.190625, 0.606481]]	(6892.883288770781, 5447.072802588096, 290.00064000000003, 327.00023999999996, -6.699760000000083, -813.5, 0.0)
[[0.354687, 0.797222, 0.264583, 0.405556], [0.334635, 0.690741, 0.182812, 0.540741]]	(2207.5068237304845, 1716.8977115769424, 507.99936, 395.2004800000001, -127.39951999999994, -693.7, 0.0)
[[0.207292, 0.493981, 0.047917, 0.075], [0.192448, 0.466204, 0.025521, 0.108333], [0.211458, 0.47037, 0.038542, 0.1]]	(-298.12429673017, -346.58242712893934, 92.00063999999998, 60.40051999999997, -54.199479999999994, -108.49947999999995, -0.9994799999999486)
[[0.913021, 0.759259, 0.172917, 0.474074], [0.932292, 0.675, 0.135417, 0.65]]	(10926.014010764884, 3772.889213092249, 332.00064, 511.0002400000001, -56.3997599999999, -824.9996800000001, -0.9996800000001258)
[[0.449219, 0.610648, 0.036979, 0.086111], [0.439063, 0.594907, 0.029167, 0.087963]]	(-440.8319199672312, -319.04817336875, 70.99968000000001, 97.30010000000004, -23.39989999999989, -111.09978000000001, -11.699780000000032)
[[0.241927, 0.700926, 0.055729, 0.164815], [0.236458, 0.667593, 0.059375, 0.177778], [0.30026, 0.720833, 0.082812, 0.265741], [0.189062, 0.807407, 0.123958, 0.385185]]	(-354.11975820985873, -518.1655649627817, 106.99968000000001, 178.00001999999995, -49.09998000000007, -179.00018, -0.00018000000000029104)
[[0.291406, 0.796296, 0.106771, 0.261111], [0.236458, 0.667593, 0.059375, 0.177778], [0.30026, 0.720833, 0.082812, 0.265741], [0.189062, 0.807407, 0.123958, 0.385185]]	(-327.9773393097461, -397.2187139382462, 205.00032000000004, 322.0002599999999, -76.09974000000011, -377.69962, -79.39961999999991)
[[0.275, 0.880093, 0.14375, 0.232407], [0.30026, 0.720833, 0.082812, 0.265741], [0.189062, 0.807407, 0.123958, 0.385185]]	(-188.6747878928518, -269.97817091669674, 276.00000000000006, 254.99933999999996, -198.90066000000002, -396.4002200000001, 3.9997799999998733)
[[0.671094, 0.529167, 0.010937, 0.026852], [0.679948, 0.590741, 0.032813, 0.122222]]	(-1847.2104526974022, -830.017826642932, 20.99904000000015, 146.99972000000002, 70.19972000000007, -62.10044000000016, 117.99955999999986)
[[0.729948, 0.568519, 0.030729, 0.038889]]	(-2130.9707434971747, -843.4787236672904, 58.9996799999999, 41.999540000000025, -14.400459999999953, -118.80057999999997, -0.0005800000000135697)
[[0.678906, 0.600463, 0.069271, 0.099074], [0.679948, 0.590741, 0.032813, 0.122222]]	(-1847.2104526974022, -830.017826642932, 133.0003200000001, 108.99991999999997, 32.19992000000002, -178.0999999999999, 2.0000000000001137)
[[0.236979, 0.87037, 0.108333, 0.259259], [0.169792, 0.790741, 0.213542, 0.416667]]	(-342.562958477308, -560.4641421560102, 207.99936000000002, 279.00026, -227.19974000000002, -359.29945999999995, -0.9994599999999991)
[[0.740885, 0.510185, 0.004687, 0.02037]]	(-2130.9707434971747, -843.4787236672904, 8.99904000000015, 95.0, 38.60000000000002, -45.79959999999994, 73.00040000000001)
[[0.215104, 0.556944, 0.0625, 0.121296], [0.267188, 0.519907, 0.048958, 0.139815], [0.219792, 0.525463, 0.041667, 0.137963]]	(-254.10818710064402, -298.334855681826, 120.0, 144.30031999999994, -17.599680000000035, -201.49936000000002, -24.19936000000007)
[[0.264844, 0.549537, 0.065104, 0.136111], [0.267188, 0.519907, 0.048958, 0.139815], [0.219792, 0.525463, 0.041667, 0.137963]]	(-384.94485880597085, -367.44583264145314, 124.99967999999996, 158.49997999999994, -20.200020000000052, -219.99990000000014, -24.199900000000184)
[[0.794271, 0.452315, 0.030208, 0.036111]]	(2045.2859172787396, 1051.328326817609, 57.999360000000024, 488.59974, -102.00026000000003, 57.59985999999998, 571.9998599999999)
[[0.690104, 0.575926, 0.038542, 0.153704], [0.689323, 0.521296, 0.036979, 0.188889], [0.689844, 0.531944, 0.042188, 0.19537], [0.716667, 0.557407, 0.060417, 0.242593], [0.733073, 0.684722, 0.099479, 0.491667]]	(-8223.82867844638, -3517.16608310941, 74.0006400000002, 166.00008000000003, -62.09992, -245.00024000000008, -0.00024000000007617928)
[[0.759635, 0.789815, 0.188021, 0.414815], [0.689844, 0.531944, 0.042188, 0.19537], [0.716667, 0.557407, 0.060417, 0.242593], [0.733073, 0.684722, 0.099479, 0.491667]]	(2045.2859172787396, 1051.328326817609, 361.0003199999999, 328.59989999999993, -262.0001000000001, -511.4002999999999, 2.9997000000000753)
[[0.041406, 0.704167, 0.082812, 0.313889], [0.038542, 0.568981, 0.075, 0.410185]]	(141.8150289257178, 837.7483360303006, 158.99903999999998, 251.69970000000012, -199.00029999999992, -457.8004200000001, 32.099579999999946)
[[0.635677, 0.833333, 0.303646, 0.331481], [0.803646, 0.729167, 0.390625, 0.541667]]	(-3433.019542660852, -1288.3438458779356, 583.0003200000002, 357.0001, 250.90009999999995, -716.59938, -0.9993799999999737)
[[0.066406, 0.400463, 0.024479, 0.04537], [0.032031, 0.513889, 0.063021, 0.272222]]	(141.6764300701796, 805.9338693711427, 46.99968000000001, 385.49976, -23.600240000000042, -26.299840000000017, 429.20016000000004)
[[0.055469, 0.450463, 0.040104, 0.14537], [0.032031, 0.513889, 0.063021, 0.272222]]	(141.6764300701796, 805.9338693711427, 76.99968000000003, 385.49976, -23.600240000000042, -134.29983999999996, 321.2001600000001)
[[0.034375, 0.680093, 0.066667, 0.208333], [0.032031, 0.513889, 0.063021, 0.272222]]	(141.6764300701796, 805.9338693711427, 128.00064, 171.49937999999997, -237.60062000000005, -416.3002599999999, 39.19974000000013)
[[0.501563, 0.90787, 0.230208, 0.184259], [0.673958, 0.743981, 0.547917, 0.512037]]	(23772.992382178378, 9160.633217263918, 441.99936, 198.00026000000003, -158.69974000000002, -763.99946, -0.9994599999999991)
[[0.43125, 0.929167, 0.388542, 0.139815], [0.390365, 0.706944, 0.319271, 0.584259]]	(3121.124377257849, 2196.210615650601, 746.00064, 150.9997400000001, -560.80026, -485.40045999999995, -0.00045999999997548)
[[0.519271, 0.891667, 0.273958, 0.216667], [0.332813, 0.673611, 0.292708, 0.652778]]	(1185.868668634366, 804.1027596068135, 525.9993599999998, 233.99982, -605.40018, -467.40054, -0.0005400000000008731)
